,Alien taxon involved?,Wild formed,Hybrid Ploidy,Hybrid Chromosome number,Parent A,Parent B,Ploidy A,Chromosome number A,Ploidy B,Chromosome Number B,Within/Between Species,Is hybrid a species?,Within/Between ploidy level,Notes?,Hybrid Name,Aneuploidy,"Unless otherwise stated, ploidy estimates are from either the book, or The Kew database",Hybrid species name,Hybrid species nature
64,,NA,Diploid,34,Cotoneaster dammeri,Cotoneaster conspicuus,Dipoid,34,2,34,Between,No,Within,,,NA,NA,,
65,,NA,,,Pyracantha coccinea,Pyracantha rogersiana,2,34,Unknown,,Between,No,,,,NA,NA,,
66,,NA,Diploid,34,Mespilus germanica,Crataegus laevigata,2,34,2,34,Between,No,Within,Also tetraploid laevigata in leitch excel,,NA,NA,,
67,,NA,Diploid,34,Crataegus monogyna,Crataegus laevigata,2,34,2,34,Between,No,Within,,,NA,NA,,
68,,NA,Diploid,34,Crataegus monogyna,Crataegus heterophylla,2,34,2,34,Between,No,Within,,,NA,NA,,
69,,NA,Triploid,51,Crataegus monogyna,Crataegus rhipidophylla,2,34,4,68,Between,No,,Crataegus rhipidophylla also had a count for 2n=51,,NA,NA,,
70,,NA,,,Crataegus rhipidophylla,Crataegus laevigata,Multiple,"32, 34 (Russian book)",2,34,Between,No,,,,NA,NA,,
71,,NA,Diploid,14,Rubus odoratus,Rubus parviflorus,2,14,2,14,Between,No,Within,,,NA,NA,,
72,,NA,Diploid,14,Rubus idaeus,Rubus phoenicolasius,2,14,2,14,Between,No,Within,,,NA,NA,,
73,,NA,Diploid,14,Rubus idaeus,Rubus cockburnianus,2,14,2,14,Between,No,Within,,,NA,NA,,
74,,NA,Triploid,35,Rubus idaeus,Rubus caesius,2,14,4,28,Between,No,,,,NA,NA,,
75,,NA,Diploid,14,Rubus idaeus,Rubus ulmifolius,2,14,2,14,Between,No,Within,Many other presumed hybrids of idaeus x fruticosus agg.,,NA,NA,,
76,,NA,Triploid,21,Rubus ulmifolius,Rubus caesius,2,14,4,28,Between,No,,,,NA,NA,,
77,,NA,,"49, 61-64",Potentilla crantzii,Potentilla verna,Multiple,"42, 49, 56, 63, 70",Multiple,"42, 49",Between,No,Within or Between,Don't know what to do with all the numbers!,,NA,NA,,
78,,NA,Hexaploid,42,Potentilla erecta,Potentilla anglica,4,28,8,56,Between,No,,"Four copies of erecta, two of reptans. Anglica is an octoploid of equal copies of erecta and reptans.",,NA,NA,,
79,,NA,Hexaploid,42,Potentilla anglica,Potentilla reptans,8,56,4,28,Between,No,,"Four copies of reptans, two of erecta",,NA,NA,,
80,,NA,Tetraploid,28,Potentilla erecta,Potentilla reptans,4,28,4,28,Between,No,Within,Potentilla anglica is the allooctoploid derivative of this hybrid.,,NA,NA,,
81,,NA,Hexaploid,42,Geum rivale,Geum urbanum,6,42,6,42,Between,No,Within,https://www.ufz.de/export/data/2/92106_MEN_4_209_Arens_et_al.pdf,,NA,NA,,
82,,NA,Hexaploid,42,Geum urbanum,Geum macrophyllum,6,42,6,42,Between,No,Within,,,NA,NA,,
83,,NA,Triploid,42,Agrimonia eupatoria,Agrimonia procera,2,28,4,56,Between,No,Between,https://link.springer.com/article/10.1007/s00709-013-0581-0,,NA,NA,,
84,,NA,Diploid,42,Acaena anserinifolia,Acaena inermis,2,42,2,42,Between,No,Within,https://florabase.dpaw.wa.gov.au/browse/profile/21504 base is n=21??,,NA,NA,,
85,,NA,,,Rosa multiflora,Rosa rubiginosa,2,"14 (Russian book, various studies)",5,"35 (Russian book, various studies)",Between,No,,"Rosa will be a special case, because even between ploidy levels, the unbalanced polyploid will only ever donate a haploid genome to the male gametophyte",,NA,NA,,
86,,NA,,,Rosa arvensis,Rosa rugosa,2,14,Multiple,"14, 28",Between,No,Within or Between,,,NA,NA,,
87,,NA,,,Rosa arvensis,Rosa stylosa,2,14,Multiple,"35, 42",Between,No,Between,,,NA,NA,,
88,,NA,,,Rosa arvensis,Rosa canina,2,14,5,35,Between,No,Between,,,NA,NA,,
89,,NA,,,Rosa arvensis,Rosa caesia,2,14,5,35,Between,No,Between,,,NA,NA,,
90,,NA,,,Rosa arvensis,Rosa tomentella,2,14,5,35,Between,No,Between,,,NA,NA,,
91,,NA,,,Rosa arvensis,Rosa tomentosa,2,14,5,35,Between,No,Between,,,NA,NA,,
92,,NA,,,Rosa arvensis,Rosa sherardii,2,14,Multiple,"28, 35, 42",Between,No,Between,,,NA,NA,,
93,,NA,,,Rosa arvensis,Rosa rubiginosa,2,14,5,35,Between,No,Between,,,NA,NA,,
94,,NA,,,Rosa arvensis,Rosa micrantha,2,14,Multiple,"35, 42",Between,No,Between,,,NA,NA,,
95,,NA,,,Rosa spinosissima,Rosa rugosa,4,28,Multiple,"14, 28",Between,No,Within or Between,,,NA,NA,,
96,,NA,,,Rosa spinosissima,Rosa canina,4,28,5,35,Between,No,Between,,,NA,NA,,
97,,NA,,,Rosa spinosissima,Rosa caesia,4,28,5,35,Between,No,Between,,,NA,NA,,
98,,NA,,,Rosa spinosissima,Rosa tomentosa,4,28,5,35,Between,No,Between,,,NA,NA,,
99,,NA,,,Rosa spinosissima,Rosa sherardii,4,28,Multiple,"28, 35, 42",Between,No,Within or Between,,,NA,NA,,
100,,NA,,,Rosa spinosissima,Rosa mollis,4,28,Multiple,"28, 56",Between,No,Within or Between,,,NA,NA,,
101,,NA,,,Rosa spinosissima,Rosa rubiginosa,4,28,5,35,Between,No,Between,,,NA,NA,,
102,,NA,,,Rosa spinosissima,Rosa agrestis,4,28,Unknown,,Between,No,,Indeterminate Sweet briar hybrid,,NA,NA,,
103,,NA,,,Rosa rugosa,Rosa canina,Multiple,"14, 28",5,35,Between,No,Between,,,NA,NA,,
104,,NA,,,Rosa stylosa,Rosa canina,Multiple,"35, 42",5,35,Between,No,Within or Between,,,NA,NA,,
105,,NA,,,Rosa stylosa,Rosa caesia,Multiple,"35, 42",5,35,Between,No,Within or Between,,,NA,NA,,
106,,NA,,,Rosa stylosa,Rosa tomentella,Multiple,"35, 42",5,35,Between,No,Within or Between,,,NA,NA,,
108,,NA,,,Rosa stylosa,Rosa rubiginosa,Multiple,"35, 42",5,35,Between,No,Within or Between,,,NA,NA,,
109,,NA,,,Rosa stylosa,Rosa agrestis,Multiple,"35, 42",Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
110,,NA,Pentaploid,35,Rosa canina,Rosa caesia,5,35,5,35,Between,No,Within,,,NA,NA,,
111,,NA,,,Rosa canina,Rosa tomentella,5,35,5,35,Between,No,Within,,,NA,NA,,
112,,NA,Pentaploid,35,Rosa canina,Rosa tomentosa,5,35,5,35,Between,No,Within,,,NA,NA,,
113,,NA,,,Rosa canina,Rosa sherardii,5,35,Multiple,"28, 35, 42",Between,No,Within or Between,,,NA,NA,,
114,,NA,,,Rosa canina,Rosa mollis,5,35,Multiple,"28, 56",Between,No,Between,,,NA,NA,,
115,,NA,Pentaploid,35,Rosa canina,Rosa rubiginosa,5,35,5,35,Between,No,Within,,,NA,NA,,
116,,NA,,,Rosa canina,Rosa micrantha,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
117,,NA,,,Rosa canina,Rosa agrestis,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
118,,NA,Pentaploid,35,Rosa caesia,Rosa tomentella,5,35,5,35,Between,No,Within,,,NA,NA,,
119,,NA,Pentaploid,35,Rosa caesia,Rosa tomentosa,5,35,5,35,Between,No,Within,,,NA,NA,,
120,,NA,,,Rosa caesia,Rosa sherardii,5,35,Multiple,"28, 35, 42",Between,No,Within or Between,,,NA,NA,,
121,,NA,,,Rosa caesia,Rosa mollis,5,35,Multiple,"28, 56",Between,No,Between,,,NA,NA,,
122,,NA,Pentaploid,35,Rosa caesia,Rosa rubiginosa,5,35,5,35,Between,No,Within,,,NA,NA,,
123,,NA,,,Rosa caesia,Rosa micrantha,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
124,,NA,Pentaploid,35,Rosa tomentella,Rosa tomentosa,5,35,5,35,Between,No,Within,,,NA,NA,,
125,,NA,,,Rosa tomentella,Rosa sherardii,5,35,Multiple,"28, 35, 42",Between,No,Within or Between,,,NA,NA,,
126,,NA,Pentaploid,35,Rosa tomentella,Rosa rubiginosa,5,35,5,35,Between,No,Within,,,NA,NA,,
127,,NA,,,Rosa tomentella,Rosa micrantha,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
128,,NA,,,Rosa tomentosa,Rosa sherardii,5,35,Multiple,"28, 35, 42",Between,No,Within or Between,,,NA,NA,,
129,,NA,,,Rosa tomentosa,Rosa mollis,5,35,Multiple,"28, 56",Between,No,Between,,,NA,NA,,
130,,NA,Pentaploid,35,Rosa tomentosa,Rosa rubiginosa,5,35,5,35,Between,No,Within,,,NA,NA,,
131,,NA,,,Rosa tomentosa,Rosa micrantha,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
132,,NA,,,Rosa tomentosa,Rosa agrestis,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
133,,NA,,,Rosa sherardii,Rosa mollis,Multiple,"28, 35, 42",Multiple,"28, 56",Between,No,Within or Between,,,NA,NA,,
134,,NA,,,Rosa sherardii,Rosa rubiginosa,Multiple,"28, 35, 42",5,35,Between,No,Within or Between,,,NA,NA,,
135,,NA,,,Rosa sherardii,Rosa micrantha,Multiple,"28, 35, 42",Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
136,,NA,,,Rosa sherardii,Rosa agrestis,Multiple,"28, 35, 42",Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
137,,NA,,,Rosa mollis,Rosa rubiginosa,Multiple,"28, 56",5,35,Between,No,Between,,,NA,NA,,
138,,NA,,,Rosa rubiginosa,Rosa micrantha,5,35,Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
139,,NA,,,Rosa micrantha,Rosa agrestis,Multiple,"35, 42",Multiple,"35, 42",Between,No,Within or Between,,,NA,NA,,
140,,NA,,,Elaeagnus macrophylla,Elaeagnus pungens,Unknown,,2,28,Between,No,,No info on macrophylla ploidy/chromosomes,,NA,NA,,
141,,NA,Diploid,28,Ulmus glabra,Ulmus minor,2,28,2,28,Between,No,Within,,,NA,NA,,
142,,NA,Diploid,28,Ulmus glabra,Ulmus minor,2,28,2,28,Between,No,Within,Also a triple hybrid with x Ulmus plotii,,NA,NA,,
143,,NA,Diploid,28,Ulmus glabra,Ulmus minor,2,28,2,28,Between,No,Within,,,NA,NA,,
144,,NA,Diploid,28,Ulmus minor,Ulmus minor,2,28,2,28,Between,No,Within,,,NA,NA,,
145,,NA,Diploid,28,Ulmus minor,Ulmus minor,2,28,2,28,Between,No,Within,,,NA,NA,,
146,,NA,Diploid,26,Nothofagus obliqua,Nothofagus alpina,2,26,2,26,Between,No,Within,,,NA,NA,,
147,,NA,Diploid,24,Quercus cerris,Quercus suber,2,24,2,24,Between,No,Within,,,NA,NA,,
149,,NA,Diploid,24,Quercus petraea,Quercus robur,2,24,2,24,Between,No,Within,,,NA,NA,,
151,,NA,Triploid,26-56 (expected 42),Betula pendula,Betula pubescens,2,28,4,56,Between,No,Between,Maybe see Atkinson 1992 (biological flora of the british isles),,NA,NA,,
152,,NA,Triploid,37-42 (in Scotland),Betula pubescens,Betula nana,4,56,2,28,Between,No,Between,,,NA,NA,,
153,,NA,Diploid,28,Alnus glutinosa,Alnus incana,2,28,2,28,Between,No,Within,,,NA,NA,,
154,,NA,,,Alnus glutinosa,Alnus cordata,2,28,Multiple,"28, 42",Between,No,?,,,NA,NA,,
155,,NA,,,Alnus incana,Alnus cordata,2,28,Multiple,"28, 42",Between,No,,,,NA,NA,,
156,,NA,,,Corylus avellana,Corylus maxima,2,22,2,22,Between,No,Within,Corylus maxima also occurs at 2n=28,,NA,NA,,
157,,NA,Diploid,16,Euphorbia portlandica,Euphorbia paralias,2,16,2,16,Between,No,Within,,,NA,NA,,
158,,NA,Diploid,60,Euphorbia esula,Euphorbia esula,Unknown,,2,60,Between,No,Within or Between,"http://www.nrcresearchpress.com/doi/abs/10.1139/b88-307#.WN0mQRLyuRs Euphorbia esula also occurs as a 2n=20, 50 or 60.",,NA,NA,,
159,,NA,,,Euphorbia esula,Euphorbia cyparissias,Multiple,"20, 40",Multiple,"20, 40",Between,No,,,,NA,NA,,
160,,NA,,50,Euphorbia esula,Euphorbia cyparissias,6,60,Multiple,"20, 40",Between,No,,as above,,NA,NA,,
161,,NA,Diploid or Triploid,"38, 57",Populus alba,Populus tremula,Multiple,"38, 57",2,38,Between,No,Within or Between,http://onlinelibrary.wiley.com/store/10.1111/j.1601-5223.1940.tb03241.x/asset/j.1601-5223.1940.tb03241.x.pdf?v=1&t=j13msp7k&s=a41d56a9fa817e97a4d4bcc1aef0a13a9f575dda,,NA,NA,,
162,,NA,Diploid,"38, 57",Populus nigra,Populus deltoides,Multiple,"38, 57",2,38,Between,No,Within,Also a triple hybrid with x Populus balsamifera (2n=38 as well),,NA,NA,,
163,,NA,Diploid,38,Populus nigra,Populus laurifolia,2,38,2,38,Between,No,Within,Populus nigra 'Italica',,NA,NA,,
164,,NA,Diploid,38,Populus deltoides,Populus trichocarpa,2,38,2,38,Between,No,Within,,,NA,NA,,
165,,NA,Diploid,38,Populus deltoides,Populus balsamifera,2,38,2,38,Between,No,Within,,,NA,NA,,
166,,NA,Diploid,38,Populus balsamifera,Populus trichocarpa,2,38,2,38,Between,No,Within,,,NA,NA,,
167,,NA,Tetraploid,76,Salix pentandra,Salix euxina,4,76,4,76,Between,No,Within,,,NA,NA,,
168,,NA,Tetraploid,76,Salix pentandra,Salix alba,4,76,4,76,Between,No,Within,,,NA,NA,,
169,,NA,Tetraploid,76,Salix euxina,Salix alba,4,76,4,76,Between,No,Within,"Also two triple hybrids. One with Salix triandra (2n=2x=38), which is the Salix x alopecuroides. The other with Salix babylonica which is the Salix x pendulina (2n=4x=76)",,NA,NA,,
170,,NA,Tetraploid,76,Salix alba,Salix babylonica,4,76,4,76,Between,No,Within,,,NA,NA,,
171,,NA,,,Salix triandra,Salix purpurea,2,38,2,"38 (Russian book, many authors)",Between,No,,,,NA,NA,,
172,,NA,Diploid,38,Salix triandra,Salix viminalis,2,"38, 44",2,38,Between,No,Within or Between?,,,NA,NA,,
173,,NA,Diploid,38,Salix purpurea,Salix viminalis,2,38,2,38,Between,No,Within,"Salix purpurea x viminalis x caprea x cinerea also reported. Salix purpurea x viminalis x cinerea, where cinerea has 2n=76. Salix purpurea x viminalis x repens (2n=38)",,NA,NA,,
174,,NA,Triploid,57,Salix purpurea,Salix cinerea,2,38,4,76,Between,No,Between,"Also a triple hybrid with Salix aurita, which is questionable",,NA,NA,,
175,,NA,Diploid,38,Salix purpurea,Salix aurita,2,38,4,"38, 76",Between,No,Within or Between?,Also a triple hybrid with Salix phylicifolia (2n=88),,NA,NA,,
176,,NA,,,Salix purpurea,Salix myrsinifolia,2,38,6,114,Between,No,Between,,,NA,NA,,
177,,NA,,,Salix purpurea,Salix phylicifolia,2,38,Unknown,88,Between,No,Between,Salix phylicifolia can also occur as a 2n=114,,NA,NA,,
178,,NA,Diploid?,38?,Salix purpurea,Salix repens,2,38,2,38,Between,No,Within,,,NA,NA,,
179,,NA,,41,Salix viminalis,Salix caprea,2,38,2,38,Between,No,Within,"Two triple hybrids, one formed with Salix cinerea, the other with Salix aurita",,NA,NA,,
180,,NA,Triploid,57,Salix viminalis,Salix cinerea,2,38,4,76,Between,No,Between,"Two triple hybrids, one formed with Salix aurita, the other with Salix repens",,NA,NA,,
181,,NA,Diploid,38,Salix viminalis,Salix aurita,2,38,4,76,Between,No,Between,,,NA,NA,,
182,,NA,,,Salix viminalis,Salix myrsinifolia,2,38,6,114,Between,No,Between,,,NA,NA,,
183,,NA,Diploid,38,Salix viminalis,Salix repens,2,38,2,38,Between,No,Within,,,NA,NA,,
184,,NA,Tetraploid,76,Salix caprea,Salix cinerea,2,38,4,76,Between,No,Between,Triple hybrid formed with Salix phylicifolia and Salix repens.,,NA,NA,,
185,,NA,Diploid,38,Salix caprea,Salix aurita,2,38,4,76,Between,No,Between,,Salix x capreola,NA,NA,,
186,,NA,,,Salix caprea,Salix myrsinifolia,2,38,6,114,Between,No,Between,Triple hybrid with phylicifolia and myrsinites(?),,NA,NA,,
187,,NA,,,Salix caprea,Salix phylicifolia,2,38,Unknown,88,Between,No,Between,,,NA,NA,,
188,,NA,,,Salix caprea,Salix repens,2,38,2,38,Between,No,Within,,,NA,NA,,
189,,NA,Diploid,38,Salix caprea,Salix lapponum,2,38,2,38,Between,No,Within,,,NA,NA,,
190,,NA,,,Salix caprea,Salix myrsinites,2,38,Multiple,"38, 190, 152? (Russian book)",Between,No,,,,NA,NA,,
191,,NA,Tetraploid,76,Salix cinerea,Salix aurita,4,76,4,76,Between,No,Within,Triple hybrid with myrsinifolia and phylicifolia and repens,,NA,NA,,
192,,NA,,,Salix cinerea,Salix myrsinifolia,4,76,6,114,Between,No,Between,Triple hybrid with phylicifolia,,NA,NA,,
193,,NA,Pentaploid?,95,Salix cinerea,Salix phylicifolia,4,76,Unknown,88,Between,No,Between,,,NA,NA,,
194,,NA,Triploid,57,Salix cinerea,Salix repens,4,76,2,38,Between,No,Between,,,NA,NA,,
195,,NA,,,Salix aurita,Salix myrsinifolia,4,76,6,114,Between,No,Between,Triple hybrid with phylicifolia,,NA,NA,,
196,,NA,,,Salix aurita,Salix phylicifolia,4,76,Unknown,88,Between,No,Between,,,NA,NA,,
197,,NA,,,Salix aurita,Salix repens,4,76,2,36,Between,No,Between,Triple hybrid with lapponum and herbacea,,NA,NA,,
198,,NA,Diploid,38,Salix aurita,Salix lapponum,4,76,2,38,Between,No,Between,Triple hybrid formed with herbacea,,NA,NA,,
200,,NA,,,Salix aurita,Salix herbacea,4,76,2,38,Between,No,Between,,,NA,NA,,
201,,NA,Hexaploid,114,Salix myrsinifolia,Salix phylicifolia,6,114,Unknown,88,Between,No,Between,"Salix phylicifolia can occur as 2n=114. Triple hybrids with repens, lapponum, arbuscula and myrsinites",,NA,NA,,
202,,NA,,,Salix myrsinifolia,Salix repens,6,114,2,38,Between,No,Between,,,NA,NA,,
203,,NA,,,Salix myrsinifolia,Salix arbuscula,6,114,2,38,Between,No,Between,,,NA,NA,,
204,,NA,,,Salix myrsinifolia,Salix myrsinites,6,114,2,38,Between,No,Between,Triple hybrid with herbacea,,NA,NA,,
205,,NA,,,Salix myrsinifolia,Salix herbacea,6,114,2,38,Between,No,Between,,,NA,NA,,
206,,NA,Tetraploid,76,Salix phylicifolia,Salix repens,Unknown,88,2,38,Between,No,Between,,,NA,NA,,
