PA,PB,PlA,PlB,CNA,CNB
Persicaria maculosa,Persicaria lapathifolia,4,2,44,22
Persicaria maculosa,Persicaria hydropiper,4,2,44,20
Persicaria hydropiper,Persicaria mitis,2,4,20,40
Persicaria hydropiper,Persicaria minor,2,4,20,40
Reynoutria japonica,Fallopia baldschuanica,8,2,88,20
Rumex cuneifolius,Rumex crispus,16,6,160,60
Rumex cuneifolius,Rumex conglomeratus,16,2,160,20
Rumex cuneifolius,Rumex obtusifolius,16,4,160,40
Rumex longifolius,Rumex obtusifolius,6,4,60,40
Rumex hydrolapathum,Rumex crispus,13,6,130,60
Rumex hydrolapathum,Rumex conglomeratus,13,2,130,20
Rumex hydrolapathum,Rumex obtusifolius,13,4,130,40
Rumex cristatus,Rumex patientia,8,6,80,60
Rumex cristatus,Rumex crispus,8,6,80,60
Rumex cristatus,Rumex conglomeratus,8,2,80,20
Rumex cristatus,Rumex obtusifolius,8,4,80,40
Rumex cristatus,Rumex palustris,8,6,80,60
Rumex patientia,Rumex conglomeratus,6,2,60,20
Rumex patientia,Rumex obtusifolius,6,4,60,40
Rumex crispus,Rumex conglomeratus,6,2,60,20
Rumex crispus,Rumex rupestris,6,2,60,20
Rumex crispus,Rumex obtusifolius,6,4,60,40
Rumex crispus,Rumex obovatus,6,4,60,40
Rumex crispus,Rumex maritimus,6,4,60,40
Rumex conglomeratus,Rumex obtusifolius,2,4,20,40
Rumex conglomeratus,Rumex palustris,2,6,20,60
Rumex conglomeratus,Rumex maritimus,2,4,20,40
Rumex sanguineus,Rumex obtusifolius,2,4,20,40
Rumex palustris,Rumex maritimus,6,4,60,40
Drosera rotundifolia,Drosera anglica,2,4,20,40
Cerastium alpinum,Cerastium nigrescens,8,12,72,108
Dianthus caryophyllus,Dianthus plumarius,2,6,30,90
Atriplex littoralis,Atriplex patula,2,4,18,36
Gaultheria shallon,Gaultheria mucronata,8,6,88,66
Anchusa ochroleuca,Anchusa officinalis,3,2,24,16
Myosotis secunda,Myosotis stolonifera,4,2,48,24
Solanum americanum,Solanum nitidibaccatum,6,2,72,24
Limosella aquatica,Limosella australis,4,2,40,20
Buddleja davidii,Buddleja globosa,4,2,76,38
Stachys sylvatica,Stachys palustris,8,6,64,102
Thymus pulegioides,Thymus vulgaris,4,2,28,30
Mentha arvensis,Mentha aquatica,6,8,72,96
Mentha arvensis,Mentha spicata,6,4,72,48
Mentha arvensis,Mentha suaveolens,6,2,72,24
Mentha aquatica,Mentha spicata,8,4,96,48
Mentha aquatica,Mentha suaveolens,8,2,96,24
Mentha spicata,Mentha longifolia,4,2,48,24
Mentha spicata,Mentha suaveolens,4,2,48,24
Erythranthe guttata,Erythranthe lutea,2,4,,
Erythranthe guttata,Erythranthe cuprea,2,4,,
Euphrasia rostkoviana,Euphrasia arctica,2,4,22,44
Euphrasia rostkoviana,Euphrasia nemorosa,2,4,22,44
Euphrasia rostkoviana,Euphrasia confusa,2,4,22,44
Euphrasia rostkoviana,Euphrasia micrantha,2,4,22,44
Euphrasia montana,Euphrasia confusa,2,4,22,44
Euphrasia anglica,Euphrasia arctica,2,4,22,44
Euphrasia anglica,Euphrasia tetraquetra,2,4,22,44
Euphrasia anglica,Euphrasia nemorosa,2,4,22,44
Euphrasia anglica,Euphrasia confusa,2,4,22,44
Euphrasia anglica,Euphrasia micrantha,2,4,22,44
Euphrasia rivularis,Euphrasia scottica,2,4,22,44
Euphrasia vigursii,Euphrasia tetraquetra,2,4,22,44
Euphrasia vigursii,Euphrasia micrantha,2,4,22,44
Cirsium eriophorum,Cirsium vulgare,2,4,34,68
Cirsium vulgare,Cirsium acaule,4,2,68,34
Cirsium vulgare,Cirsium palustre,4,2,68,34
Sonchus oleraceus,Sonchus asper,4,2,32,18
Erigeron acris,Erigeron floribundus,2,6,18,54
Erigeron acris,Erigeron sumatrensis,2,6,18,54
Artemisia vulgaris,Artemisia verlotiorum,2,6,16,
Leucanthemum lacustre,Leucanthemum maximum,12,22,108,198
Senecio squalidus,Senecio vulgaris,2,4,20,40
Senecio squalidus,Senecio viscosus,2,4,20,40
Senecio vulgaris,Senecio leucanthemifolius,4,2,40,20
Doronicum pardalianches,Doronicum plantagineum,2,4,60,120
Arum maculatum,Arum italicum,8,12,56,
Alisma plantago-aquatica,Alisma lanceolatum,2,4,,
Potamogeton natans,Potamogeton polygonifolius,4,2,52,28
Potamogeton natans,Potamogeton berchtoldii,4,2,52,26
Potamogeton polygonifolius,Potamogeton gramineus,2,4,28,52
Potamogeton coloratus,Potamogeton gramineus,2,4,,52
Potamogeton friesii,Potamogeton crispus,2,4,26,52
Potamogeton trichoides,Potamogeton crispus,2,4,26,52
Pseudorchis albida,Dactylorhiza maculata,2,4,,80
Gymnadenia conopsea,Dactylorhiza maculata,2,4,40,80
Gymnadenia borealis,Dactylorhiza maculata,2,4,40,80
Gymnadenia conopsea,Dactylorhiza praetermissa,2,4,40,80
Gymnadenia conopsea,Dactylorhiza purpurella,2,4,40,80
Gymnadenia densiflora,Dactylorhiza purpurella,2,4,40,80
Gymnadenia borealis,Dactylorhiza purpurella,2,4,40,80
Coeloglossum viride,Dactylorhiza maculata,2,4,40,80
Coeloglossum viride,Dactylorhiza purpurella,2,4,40,80
Dactylorhiza fuchsii,Dactylorhiza maculata,2,4,40,80
Dactylorhiza fuchsii,Dactylorhiza praetermissa,2,4,40,80
Dactylorhiza fuchsii,Dactylorhiza purpurella,2,4,40,80
Dactylorhiza fuchsii,Dactylorhiza trausteinerioides,2,4,40,80
Dactylorhiza fuchsii,Dactylorhiza kerryensis,2,4,40,80
Dactylorhiza maculata,Dactylorhiza incarnata,4,2,80,40
Dactylorhiza incarnata,Dactylorhiza praetermissa,2,4,40,80
Dactylorhiza incarnata,Dactylorhiza purpurella,2,4,40,80
Dactylorhiza incarnata,Dactylorhiza trausteinerioides,2,4,40,80
Dactylorhiza incarnata,Dactylorhiza kerryensis,2,4,40,80
Crocus neapolitanus,Crocus tommasinianus,2,4,,16
Juncus alpinoarticulatus,Juncus articulatus,4,8,40,80
Juncus articulatus,Juncus acutiflorus,8,4,80,40
Juncus compressus,Juncus gerardii,4,8,,
Juncus balticus,Juncus inflexus,8,4,84,
Juncus balticus,Juncus effusus,8,4,84,40
Schedonorus pratensis,Schedonorus arundinaceus,2,6,14,42
Schedonorus pratensis,Schedonorus giganteus,2,6,14,42
Scolochloa festucacea,Lolium multiflorum,6,2,42,14
Schedonorus giganteus,Lolium perenne,6,2,42,14
Schedonorus giganteus,Lolium multiflorum,6,2,42,14
Festuca rubra,Vulpia fasciculata,8,4,56,28
Festuca rubra,Vulpia fasciculata,6,4,42,28
Festuca rubra,Vulpia bromoides,6,2,42,14
Puccinellia maritima,Puccinellia rupestris,8,6,56,42
Puccinellia distans,Puccinellia fasciculata,6,4,42,28
Poa infirma,Poa annua,2,4,14,28
Holcus lanatus,Holcus mollis,2,4,14,
Agrostis capillaris,Agrostis gigantea,4,6,28,42
Alopecurus geniculatus,Alopecurus aequalis,4,2,28,14
Glyceria fluitans,Glyceria declinata,4,2,40,20
Elymus repens,Elymus junceiformis,6,4,42,28
Elymus athericus,Elymus junceiformis,6,4,42,28
Elymus repens,Hordeum secalinum,6,2,42,14
Secale cereale,Triticum aestivum,2,6,14,42
